PCBIndex,Ref.Des.,Pad ID,Volume (%),Height (um),Area (%),Offset X (um),Offset Y (um),Group ID,Print Direction,Barcode,Bridge Error,Shape Error,Panel ID,Result,,,,,,,,,,,,,
13281,C1261,9964,144,126,116,-10,78,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1262,7856,126,115,111,-6,60,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1262,7857,136,126,110,-12,66,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1263,8058,124,112,112,-11,67,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1263,8059,118,105,114,-16,54,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1264,7850,124,110,115,-1,63,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1264,7851,136,125,110,-2,69,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1265,9909,144,128,114,-10,74,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1265,9910,153,131,118,-9,72,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1266,9730,142,133,108,3,69,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1266,9731,156,131,121,-12,64,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1267,7872,131,118,112,-16,60,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1267,7873,127,123,105,-17,65,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1268,9474,144,128,113,2,60,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1268,9475,150,130,118,-16,61,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1269,9732,152,129,120,-4,70,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1269,9733,150,126,120,-18,62,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1270,8072,125,118,108,-20,68,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1270,8073,127,106,122,-29,58,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1271,5860,147,118,126,1,74,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1271,5861,149,126,120,-10,66,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1272,8076,115,113,103,-25,57,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
13281,C1272,8077,114,121,95,-31,49,2,REVERSE,VEPARB13010016,FALSE,FALSE,1,GOOD,,,,,,,,,,,,,
