Panel:ZEN-04-TOP
Revision:1
Serial Number:VEPARB34010007
Date:20240305062354
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(466.750,-2.262),TL(-26.235,451.880)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
J134_1~W30	393826	52741	VEPL73825008	OK	FAIL	PASS
J134_1~W31	393826	48937	VEPL73825008	OK	FAIL	PASS
J134_1~W32	393826	51473	VEPL73825008	OK	FAIL	PASS
J134_1~W33	393826	50205	VEPL73825008	OK	FAIL	PASS
J134_1~W42	391182	51132	VEPL73825008	OK	FAIL	PASS
J34_1~W107	38044	332769	VEPL73853075	OK	FAIL	PASS
J47_1~W16	179630	251903	VEPL73838013	OK	FAIL	PASS
J47_1~W32	193544	252014	VEPL73838013	OK	FAIL	PASS
J60_1~W1	209885	174876	VEPL73830074	OK	FAIL	PASS
J60_1~W2	198224	177403	VEPL73830074	OK	FAIL	PASS
J62_1~W1	224558	328674	VEPL73830074	OK	FAIL	PASS
J62_1~W2	231191	318756	VEPL73830074	OK	FAIL	PASS
L101_1~W2	27180	329587	VEPL43817600	OK	FAIL	PASS
LED1_1~W1	192764	223044	VEPL33522213	OK	FAIL	PASS
LED1_1~W4	193068	223644	VEPL33522213	OK	FAIL	PASS
PC101_1~W3	211148	80563	VEPL23689270	OK	FAIL	PASS
PC104_1~W5	209691	87900	VEPL23689270	OK	FAIL	PASS
PC107_1~W3	211249	95295	VEPL23689270	OK	FAIL	PASS
PC125_1~W2	381320	367390	VEPL25130352	OK	FAIL	PASS
PC128_6_1~W2	383566	360073	VEPL23708105	OK	FAIL	PASS
PC137_1~W3	222849	74942	VEPL23540122	OK	FAIL	PASS
PC151_2_1~W3	210845	44304	VEPL23708105	OK	FAIL	PASS
PC152_P0_6_1~W3	383139	115846	VEPL25130352	OK	FAIL	PASS
PC161_1_1~W2	229852	26623	VEPL3706100	OK	FAIL	PASS
PC161_1_1~W3	228759	26622	VEPL3706100	OK	FAIL	PASS
PC161_1_1~W4	229317	26631	VEPL3706100	OK	FAIL	PASS
PC20_1~W3	228065	210595	VEPL23722225	OK	FAIL	PASS
PC211_1~W1	139499	255723	VEPL23540122	OK	FAIL	PASS
PC220_1~W4	196454	203773	VEPL23686100	OK	FAIL	PASS
PC222_1_1~W3	229823	186492	VEPL3706100	OK	FAIL	PASS
PC222_1_1~W4	229265	186483	VEPL3706100	OK	FAIL	PASS
PC228_1~W3	231218	189824	VEPL23691390	OK	FAIL	PASS
PC228_1~W4	226543	190012	VEPL23691390	OK	FAIL	PASS
PC228_1~W5	232295	190019	VEPL23691390	OK	FAIL	PASS
PC229_1~W4	226478	202235	VEPL23691390	OK	FAIL	PASS
PC229_1~W5	232230	202242	VEPL23691390	OK	FAIL	PASS
PC23_1~W3	228009	209322	VEPL23722225	OK	FAIL	PASS
PC230_1~W1	229456	196206	VEPL23691390	OK	FAIL	PASS
PC230_1~W3	231364	196040	VEPL23691390	OK	FAIL	PASS
PC230_1~W4	226689	196228	VEPL23691390	OK	FAIL	PASS
PC230_1~W5	232441	196235	VEPL23691390	OK	FAIL	PASS
PC26_1~W2	230556	210665	VEPL23539155	OK	FAIL	PASS
PC262_1_1~W3	400347	317300	VEPL23708105	OK	FAIL	PASS
PC272_1~W2	402068	346641	VEPL23689270	OK	FAIL	PASS
PC272_1~W4	398794	345738	VEPL23689270	OK	FAIL	PASS
PC272_1~W5	406193	345738	VEPL23689270	OK	FAIL	PASS
PC273_1~W3	404675	338363	VEPL23689270	OK	FAIL	PASS
PC273_1~W5	406142	338393	VEPL23689270	OK	FAIL	PASS
PC274_1~W5	405931	360679	VEPL23689270	OK	FAIL	PASS
PC278_1_1~W3	390760	317432	VEPL3706100	OK	FAIL	PASS
PC278_1_1~W4	390202	317423	VEPL3706100	OK	FAIL	PASS
PC288_P1_3_1~W3	383628	342326	VEPL25130352	OK	FAIL	PASS
PC289_1~W3	124392	250639	VEPL23691390	OK	FAIL	PASS
PC289_1~W5	123316	250444	VEPL23691390	OK	FAIL	PASS
PC289_P1_4_1~W3	378656	350687	VEPL25130352	OK	FAIL	PASS
PC291_1~W5	123316	260930	VEPL23691390	OK	FAIL	PASS
PC292_3_1~W2	390308	337595	VEPL23708105	OK	FAIL	PASS
PC307_1~W2	381283	359087	VEPL25130352	OK	FAIL	PASS
PC308_P1_5_1~W3	378613	359090	VEPL25130352	OK	FAIL	PASS
PC310_5_1~W3	383594	350598	VEPL23708105	OK	FAIL	PASS
PC335_1~W2	411141	383663	VEPL23689270	OK	FAIL	PASS
PC335_1~W5	415266	382760	VEPL23689270	OK	FAIL	PASS
PC336_1~W3	408391	368786	VEPL23689270	OK	FAIL	PASS
PC338_1_1~W2	383686	394029	VEPL3706100	OK	FAIL	PASS
PC338_1_1~W3	384779	394030	VEPL3706100	OK	FAIL	PASS
