Panel:ZEN-04-BOT
Revision:1
Serial Number:VEPARB34010007
Date:20240305033933
OP ID:TRI
AOI ID:AOI_POST
Line:AOI_POST
BR(481.765,7.433),TL(2.154,446.583)
-------------------------------------------------------------

Board:1
Serial Number:VEPARB34010007
Name	TargX	TargY	Model	Error Clasee	AOI	Reviewed
U165_1~W19	146409	250404	VEPL33876006	OK	FAIL	PASS
U165_1~W20	147710	250404	VEPL33876006	OK	FAIL	PASS
U165_1~W21	147060	250404	VEPL33876006	OK	FAIL	PASS
U165_1~W22	146453	253044	VEPL33876006	OK	FAIL	PASS
U165_1~W23	147754	253044	VEPL33876006	OK	FAIL	PASS
U165_1~W24	147104	253044	VEPL33876006	OK	FAIL	PASS
U165_1~W25	146426	251109	VEPL33876006	OK	FAIL	PASS
U165_1~W26	147727	251109	VEPL33876006	OK	FAIL	PASS
U165_1~W27	147077	251109	VEPL33876006	OK	FAIL	PASS
U166_1~W11	136474	273170	VEPL33879012	OK	FAIL	PASS
U167_1~W11	131990	271043	VEPL33920012	OK	FAIL	PASS
U167_1~W12	132393	271043	VEPL33920012	OK	FAIL	PASS
U167_1~W3	132959	272258	VEPL33920012	OK	FAIL	PASS
U171_1~W7	38137	146720	VEPL33439211	OK	FAIL	PASS
U172_1~W6	41865	146340	VEPL33439211	OK	FAIL	PASS
U175_1~W3	18826	141087	VEPL33866005	OK	FAIL	PASS
U178_1~W3	21182	124125	VEPL33866005	OK	FAIL	PASS
U180_1~W3	22018	145106	VEPL33866005	OK	FAIL	PASS
U185_1~W20	223946	366266	VEPL33459323	OK	FAIL	PASS
U185_1~W21	223946	361690	VEPL33459323	OK	FAIL	PASS
U185_1~W22	223946	365612	VEPL33459323	OK	FAIL	PASS
U185_1~W27	223946	362343	VEPL33459323	OK	FAIL	PASS
U186_1~W15	180898	193259	VEPL33929032	OK	FAIL	PASS
U186_1~W17	181899	193259	VEPL33929032	OK	FAIL	PASS
U186_1~W32	184210	195556	VEPL33929032	OK	FAIL	PASS
U186_1~W33	184210	196057	VEPL33929032	OK	FAIL	PASS
U192_1~W50	182682	247089	VEPL33881024	OK	FAIL	PASS
U20_1~W37	58041	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W38	62596	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W39	58691	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W40	59342	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W41	59993	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W42	60643	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W43	61294	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W44	61945	158339	VEPL33475774	OK	FAIL	PASS
U20_1~W45	58055	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W46	62611	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W47	58706	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W48	59357	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W49	60008	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W50	60658	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W51	61309	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W52	61960	150935	VEPL33475774	OK	FAIL	PASS
U20_1~W53	58034	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W54	62589	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W55	58684	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W56	59335	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W57	59986	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W58	60636	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W59	61287	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W60	61938	157729	VEPL33475774	OK	FAIL	PASS
U20_1~W61	58061	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W62	62617	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W63	58712	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W64	59363	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W65	60014	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W66	60664	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W67	61315	151545	VEPL33475774	OK	FAIL	PASS
U20_1~W68	61966	151545	VEPL33475774	OK	FAIL	PASS
U262_1~W12	151579	258702	VEPL33888012	OK	FAIL	PASS
U263_1~W10	217088	355108	VEPL33438204	OK	FAIL	PASS
U263_1~W11	217494	355108	VEPL33438204	OK	FAIL	PASS
U263_1~W12	217899	355108	VEPL33438204	OK	FAIL	PASS
U263_1~W14	218526	354216	VEPL33438204	OK	FAIL	PASS
U263_1~W3	216684	353295	VEPL33438204	OK	FAIL	PASS
U263_1~W7	217900	353295	VEPL33438204	OK	FAIL	PASS
